Fecha,Hora,Accion,Usuario,Proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,selectionset,CD.Lopez,Nuevo proyecto
2024-08-19,08:47:56,RegisterScript,CD.Lopez,Nuevo proyecto
2024-08-19,08:52:55,RegisterScript,CD.Lopez,Nuevo proyecto
2024-08-19,08:52:55,RegisterScriptDlg,CD.Lopez,Nuevo proyecto
2024-08-19,08:52:56,XGedOpenPageInFrame,CD.Lopez,Nuevo proyecto
2024-08-19,08:52:56,XPmPageOpenOnePage,CD.Lopez,Nuevo proyecto
2024-08-19,08:52:57,XGedOpenPageInFrame,CD.Lopez,Nuevo proyecto
2024-08-19,08:52:57,XPmPageOpenOnePage,CD.Lopez,Nuevo proyecto
2024-08-19,08:53:44,EsSwitchConnectionUpdate,CD.Lopez,Nuevo proyecto
2024-08-19,08:53:44,XGedOpenPageInFrame,CD.Lopez,Nuevo proyecto
